0, 0.888, -1.291, 1.541, -1.895, 0.861, 0.886, -1.132, 1.523, -1.892, 0.867
2, 0.903, -1.151, 1.591, -1.914, 0.844, 0.897, -1.159, 1.591, -1.935, 0.860
4, 0.922, -1.213, 1.855, -2.358, 1.106, 0.904, -1.477, 1.576, -1.948, 0.888
6, 0.942, -1.230, 1.877, -2.336, 1.070, 0.929, -1.313, 2.147, -2.733, 1.264
8, 0.982, -1.430, 2.552, -3.284, 1.542, 0.975, -1.559, 2.828, -3.576, 1.651
10, 1.015, -1.444, 2.426, -2.957, 1.333, 1.015, -1.590, 2.696, -3.233, 1.439
12, 1.093, -1.901, 3.593, -4.280, 1.888, 1.130, -2.160, 4.115, -4.786, 2.062
14, 1.137, -1.418, 1.324, -0.679, 0.000, 1.165, -1.617, 1.565, -0.797, 0.000
16, 1.326, -1.871, 1.745, -0.782, 0.000, 1.428, -2.362, 2.421, -1.122, 0.000
18, 1.496, -1.645, 0.665, 0.000, 0.000, 1.579, -1.859, 0.767, 0.000, 0.000
